rank,place,state,population,latitude,longitude,name,desc,color,source,precision
674,Grand Forks,North Dakota,"52,838",47.4462814,-100.4693985,North Dakota,North Dakota,,Bing Maps,state/province
675,Revere,Massachusetts,"51,755",42.125515,-71.4986191,Massachusetts,Massachusetts,,Bing Maps,state/province
676,Novato,California,"51,904",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
677,Euless,Texas,"51,277",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
678,Cathedral City,California,"51,200",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
679,Hendersonville,Tennessee,"51,372",35.8430023,-86.3430481,Tennessee,Tennessee,,Bing Maps,state/province
680,Sarasota,Florida,"51,917",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
681,Brentwood,California,"51,481",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
682,Pensacola,Florida,"51,923",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
683,Florissant,Missouri,"52,158",38.3679657,-92.4778824,Missouri,Missouri,,Bing Maps,state/province
684,Yucaipa,California,"51,367",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
685,Hoffman Estates village,Illinois,"51,895",40.1228409,-89.143219,Illinois,Illinois,,Bing Maps,state/province
686,Oak Park village,Illinois,"51,878",40.1228409,-89.143219,Illinois,Illinois,,Bing Maps,state/province
687,Battle Creek,Michigan,"52,347",44.8626175,-85.7351379,Michigan,Michigan,,Bing Maps,state/province
688,Smyrna,Georgia,"51,271",32.637619,-83.4289627,Georgia,Georgia,,Bing Maps,state/province
689,Lakewood,Ohio,"52,131",40.410656,-82.7089386,Ohio,Ohio,,Bing Maps,state/province
690,La Crosse,Wisconsin,"51,320",44.6354256,-89.7189026,Wisconsin,Wisconsin,,Bing Maps,state/province
691,Peabody,Massachusetts,"51,251",42.125515,-71.4986191,Massachusetts,Massachusetts,,Bing Maps,state/province
692,Buckeye town,Arizona,"50,876",34.2930069,-111.6639786,Arizona,Arizona,,Bing Maps,state/province
693,Watsonville,California,"51,199",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
694,Greenwood,Indiana,"49,791",39.9198036,-86.2817993,Indiana,Indiana,,Bing Maps,state/province
695,South Jordan,Utah,"50,418",39.3304787,-111.6814804,Utah,Utah,,Bing Maps,state/province
696,Elkhart,Indiana,"50,949",39.9198036,-86.2817993,Indiana,Indiana,,Bing Maps,state/province
697,Bellevue,Nebraska,"50,137",41.5272713,-99.8111038,Nebraska,Nebraska,,Bing Maps,state/province
698,Placentia,California,"50,533",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
699,Cedar Park,Texas,"48,937",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
700,Saginaw,Michigan,"51,508",44.8626175,-85.7351379,Michigan,Michigan,,Bing Maps,state/province
701,Milford,Connecticut,"51,271",41.5735016,-72.7383041,Connecticut,Connecticut,,Bing Maps,state/province
702,Charleston,West Virginia,"51,400",38.638382,-80.6165771,West Virginia,West Virginia,,Bing Maps,state/province
703,Perth Amboy,New Jersey,"50,814",40.0851631,-74.649498,New Jersey,New Jersey,,Bing Maps,state/province
704,Burlington,North Carolina,"49,963",35.5147514,-79.1010361,North Carolina,North Carolina,,Bing Maps,state/province
705,Albany,Oregon,"50,158",43.9452972,-120.5995255,Oregon,Oregon,,Bing Maps,state/province
706,Joplin,Missouri,"50,150",38.3679657,-92.4778824,Missouri,Missouri,,Bing Maps,state/province
707,Hoboken,New Jersey,"50,005",40.0851631,-74.649498,New Jersey,New Jersey,,Bing Maps,state/province
708.5,Minnetonka,Minnesota,"49,734",46.3505173,-94.1978073,Minnesota,Minnesota,,Bing Maps,state/province
708.5,Glendora,California,"50,073",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
710,West New York town,New Jersey,"49,708",40.0851631,-74.649498,New Jersey,New Jersey,,Bing Maps,state/province
711,Bradenton,Florida,"49,546",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
712,Troy,New York,"50,129",40.7820015,-73.8327026,New York,"New York, NY",,Bing Maps,city/town
713,Niagara Falls,New York,"50,193",40.7820015,-73.8327026,New York,"New York, NY",,Bing Maps,city/town
714,Plainfield,New Jersey,"49,808",40.0851631,-74.649498,New Jersey,New Jersey,,Bing Maps,state/province
715,DeSoto,Texas,"49,047",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
