id,zip,member_type,city,state,grad_year,age,maj_prac_focus,college_code,purpose,category,full_state
143546,99645-1888,DO-M,Palmer,AK,2005,35,Emergency Medicine,118467,Home,43,Alaska
33517,99504-3560,DO-M,Anchorage,AK,1975,70,Emergency Medicine,118446,Home,14,Alaska
138744,99516-7576,DO-M,Anchorage,AK,2004,46,Emergency Medicine,118458,Home,0,Alaska
41105,99669-8064,DO-M,Soldotna,AK,1981,57,Emergency Medicine,118445,Home,0,Alaska
76483,99577-8233,DO-M,Eagle River,AK,2000,44,Emergency Medicine,118465,Home,4,Alaska
150645,99518-2428,DO-M,Anchorage,AK,2007,43,Emergency Medicine,118446,Home,0,Alaska
34417,99508-4620,DO-M,Anchorage,AK,1976,64,Endocrinology,118447,Business,0,Alaska
52006,99833-0589,DO-M,Petersburg,AK,1989,54,Family Medicine/Emergency Med,118462,Business,4,Alaska
158723,99921,DO-M,Craig,AK,2008,40,Family Medicine/OMT,118460,Business,0,Alaska
143436,99701-4922,DO-M,Fairbanks,AK,2005,39,Family Medicine/OMT,118447,Home,0,Alaska
185716,99515-4421,DO-M,Anchorage,AK,2012,30,Family Medicine/OMT,118457,Business,5,Alaska
67537,99645-9340,DO-M,Palmer,AK,1996,47,Family Medicine/OMT,118464,Home,0,Alaska
141598,99603-9222,DO-M,Homer,AK,2004,37,Family Medicine/OMT,118466,Home,0,Alaska
183804,99508-3000,DO-M,Anchorage,AK,2012,30,Family Medicine,118446,Home,5,Alaska
29864,99737-9440,DO-M,Delta Junction,AK,1972,66,Family Medicine,118446,Business,0,Alaska
171610,99654-6706,DO-M,Wasilla,AK,2010,38,Family Medicine,118467,Home,2,Alaska
64706,99567-0181,DO-M,Chugiak,AK,1995,44,Family Medicine,118461,Home,0,Alaska
38109,99701-4055,DO-M,Fairbanks,AK,1980,60,Family Medicine,118458,Business,0,Alaska
181732,99504-2438,DO-M,Anchorage,AK,2011,33,Family Medicine,118446,Home,1,Alaska
164771,99501-3603,DO-M,Anchorage,AK,2009,32,Family Medicine,118469,Home,3,Alaska
68010,99701-4922,DO-M,Fairbanks,AK,1997,43,Family Medicine,118445,Business,0,Alaska
156465,99516-1412,DO-M,Anchorage,AK,2007,35,Family Medicine,118442,Home,0,Alaska
47130,99508-2945,DO-M,Anchorage,AK,1987,60,Family Medicine,118464,Business,0,Alaska
70544,99710-0579,DO-M,Fairbanks,AK,1998,50,Family Medicine,118447,Home,0,Alaska
146106,99577-8560,DO-M,Eagle River,AK,2005,34,Family Medicine,118453,Home,5,Alaska
49297,99921-0468,DO-M,Craig,AK,1989,52,Family Medicine,118464,Business,0,Alaska
61879,99611-5101,DO-M,Kenai,AK,1994,52,Family Medicine,118459,Home,0,Alaska
47285,99559-1311,DO-M,Bethel,AK,1987,64,Family Medicine,118445,Home,0,Alaska
184218,99508-4372,DO-M,Anchorage,AK,2012,29,Family Medicine,118445,Business,5,Alaska
38372,99645-8239,DO-M,Palmer,AK,1982,59,Family Medicine,118453,Home,0,Alaska
66030,99508-5224,DO-M,Anchorage,AK,1996,64,Family Medicine,118445,Business,0,Alaska
42429,99926-0439,DO-M,Metlakatla,AK,1984,55,Family Medicine,118447,Business,0,Alaska
150478,99741-0162,DO-M,Galena,AK,2006,36,Family Medicine,118446,Home,0,Alaska
171725,99723-0029,DO-M,Barrow,AK,2010,44,Family Medicine,118467,Home,1,Alaska
165181,99762-1209,DO-M,Nome,AK,2009,43,Family Medicine,118459,Home,2,Alaska
44491,99507-6203,DO-M,Anchorage,AK,1985,57,Family Medicine,118446,Home,0,Alaska
144747,99687-6364,DO-M,Wasilla,AK,2006,36,Family Medicine,118445,Business,0,Alaska
187326,99508-5436,DO-M,Anchorage,AK,2012,29,Family Medicine,118439,Home,5,Alaska
49520,99701-4922,DO-M,Fairbanks,AK,1988,62,Family Medicine,118445,Business,4,Alaska
160122,99516-1973,DO-M,Anchorage,AK,2008,33,Family Medicine,118465,Home,0,Alaska
40921,99603-7908,DO-M,Homer,AK,1980,62,Family Medicine,118442,Home,0,Alaska
142605,99556-0734,DO-M,Anchor Point,AK,2005,35,Family Medicine,118465,Home,0,Alaska
179701,99515-3501,DO-M,Anchorage,AK,2011,38,Family Medicine,118445,Home,1,Alaska
181739,99508-3000,DO-M,Anchorage,AK,2012,32,Family Medicine,118446,Home,5,Alaska
145164,99701-4922,DO-M,Fairbanks,AK,2005,36,Family Medicine,118446,Business,0,Alaska
122341,99701-4831,DO-M,Fairbanks,AK,2003,48,Family Medicine,118468,Home,0,Alaska
43282,99508-2909,DO-M,Anchorage,AK,1984,57,Family Medicine/OMM,118446,Home,0,Alaska
123678,99712-2203,DO-M,Fairbanks,AK,2003,37,Family Medicine/OMM,118465,Home,0,Alaska
17133,99515-4111,DO-M,Anchorage,AK,1951,90,Geriatrics,118445,Home,14,Alaska
80180,99687-1830,DO-M,Wasilla,AK,2001,46,Internal Medicine,118445,Business,0,Alaska
172719,99505-1098,DO-M,Anchorage,AK,2010,34,Internal Medicine,118447,Home,2,Alaska
139934,99654-9474,DO-M,Wasilla,AK,2004,36,Internal Medicine,118457,Home,0,Alaska
67910,99654-2830,DO-M,Wasilla,AK,1997,51,Internal Medicine,118442,Home,0,Alaska
140546,99516-1992,DO-M,Anchorage,AK,2004,37,Internal Medicine,118464,Home,2,Alaska
148938,99507-6022,DO-M,Anchorage,AK,2006,38,Neurological Surgery,118464,Home,2,Alaska
144738,99507-3969,DO-M,Anchorage,AK,2005,34,Obstetrics & Gynecology,118445,Business,0,Alaska
38224,99654-7277,DO-M,Wasilla,AK,1980,59,Obstetrics & Gynecologic Surg,118445,Business,0,Alaska
47188,99515-2308,DO-M,Anchorage,AK,1987,56,Osteo Manipulative Medicine,118464,Home,0,Alaska
41419,99611-6880,DO-M,Kenai,AK,1983,58,Otolaryn & Facial Plastic Surg,118446,Business,0,Alaska
29922,99615-8877,DO-M,Kodiak,AK,1972,73,Orthopedic Surgery,118446,Home,14,Alaska
49998,99516-4435,DO-M,Anchorage,AK,1989,52,Orthopedic Surgery,118447,Home,4,Alaska
42329,99508-2962,DO-M,Anchorage,AK,1984,56,Orthopedic Surgery,118445,Business,0,Alaska
34212,99508-2982,DO-M,Anchorage,AK,1976,67,Orthopedic Surgery,118445,Business,0,Alaska
49344,99508-4712,DO-M,Anchorage,AK,1988,56,Other Specialty,118464,Business,0,Alaska
47117,99701-4835,DO-M,Fairbanks,AK,1987,57,Psychiatry,118464,Business,0,Alaska
164405,99524-1803,DO-M,Anchorage,AK,2009,33,Psychiatry,155767,Home,1,Alaska
60950,99654-7273,DO-M,Wasilla,AK,1994,46,Pediatrics,118445,Business,0,Alaska
71796,99645-3416,DO-M,Palmer,AK,1998,44,Pediatrics,118464,Home,0,Alaska
59136,99508-4603,DO-M,Anchorage,AK,1993,51,Pediatric Cardiology,118445,Home,0,Alaska
61276,99603-7527,DO-M,Homer,AK,1994,45,Surgery-General,118447,Business,0,Alaska
39673,99508-4674,DO-M,Anchorage,AK,1982,57,Surgery-General,118447,Business,0,Alaska
70276,99509-0801,DO-M,Anchorage,AK,1998,43,Surgery-General,118445,Home,0,Alaska
80673,99801-7641,DO-M,Juneau,AK,2001,41,Surgery-General,118447,Home,0,Alaska
58908,36330-8318,DO-M,Enterprise,AL,1992,54,Preventive Med-Aerospace Med,118465,Home,4,Alabama
60227,36330-8110,DO-M,Enterprise,AL,1993,47,Preventive Med-Aerospace Med,118461,Home,4,Alabama
149272,36052-4016,DO-M,Mathews,AL,2006,48,Anesthesiology,118470,Home,4,Alabama
51650,36052-4016,DO-M,Mathews,AL,1989,52,Anesthesiology,118460,Home,4,Alabama
49689,35124-3328,DO-M,Indian Springs,AL,1988,55,Anesthesiology,118466,Home,0,Alabama
37687,35741-9396,DO-M,Brownsboro,AL,1980,64,Anesthesiology,118446,Home,0,Alabama
46692,35802-1862,DO-M,Huntsville,AL,1986,54,Anesthesiology,118459,Home,0,Alabama
186659,35216-2612,DO-M,Vestavia,AL,2012,28,Anesthesiology,118458,Home,5,Alabama
39613,36117-5185,DO-M,Montgomery,AL,1982,67,Anesthesiology,118446,Home,0,Alabama
44358,36854-0247,DO-M,Valley,AL,1985,57,Cardiology,118447,Business,0,Alabama
76583,35611-3620,DO-M,Athens,AL,2000,41,Dermatology,118466,Business,0,Alabama
55967,35173-0835,DO-M,Trussville,AL,1991,50,Dermatology,118446,Business,0,Alabama
125071,35756-4079,DO-M,Madison,AL,2003,37,MOHS Micrographic Surgery,118446,Home,2,Alabama
144856,35630-6625,DO-M,Florence,AL,2005,35,Diagnostic Radiology,118459,Home,0,Alabama
49659,35976-8552,DO-M,Guntersville,AL,1988,54,Diagnostic Radiology,118465,Home,0,Alabama
170407,35226-1013,DO-M,Hoover,AL,2010,32,Diagnostic Radiology,118454,Home,5,Alabama
133481,36111-1115,DO-M,Montgomery,AL,2003,37,Diagnostic Radiology,118442,Home,0,Alabama
42396,36117-5606,DO-M,Montgomery,AL,1984,57,Emergency Medicine,118447,Home,0,Alabama
60757,36532-1403,DO-M,Fairhope,AL,1993,51,Emergency Medicine,118446,Home,0,Alabama
138917,35634-2016,DO-M,Florence,AL,2004,35,Emergency Medicine,118446,Home,0,Alabama
140037,35226-2664,DO-M,Hoover,AL,2004,38,Emergency Medicine,118469,Home,0,Alabama
41870,35769-3940,DO-M,Scottsboro,AL,1981,58,Emergency Medicine,118460,Home,0,Alabama
140664,36551-4109,DO-M,Loxley,AL,2004,48,Emergency Medicine,118467,Home,0,Alabama
41367,35902-1589,DO-M,Gadsden,AL,1983,59,Emergency Medicine,118446,Home,0,Alabama
40167,36301-7634,DO-M,Dothan,AL,1983,59,Emergency Medicine,118458,Home,0,Alabama
34280,35661-3676,DO-M,Muscle Shoals,AL,1976,67,Emergency Medicine,118446,Home,0,Alabama
122149,35242-5830,DO-M,Birmingham,AL,2002,39,Emergency Medicine,118466,Home,0,Alabama
61874,36877-4815,DO-M,Smiths,AL,1994,54,Emergency Medicine,118459,Home,0,Alabama
125066,35243-1759,DO-M,Birmingham,AL,2003,38,Emergency Medicine,118446,Home,0,Alabama
38430,36532-3308,DO-M,Fairhope,AL,1983,63,Emergency Medicine,118459,Home,0,Alabama
34022,36117-5101,DO-M,Montgomery,AL,1976,69,Emergency Medicine,118442,Home,14,Alabama
183790,36561-8807,DO-M,Orange Beach,AL,2012,29,Emergency Medicine,118448,Home,5,Alabama
186213,36105-2221,DO-M,Montgomery,AL,2012,44,Family Medicine/Emergency Med,118454,Home,5,Alabama
59456,35213-1824,DO-M,Mountain Brk,AL,1993,50,Family Medicine/Emergency Med,118447,Home,0,Alabama
58043,35960-1020,DO-M,Centre,AL,1992,47,Family Medicine/OMT,118447,Business,0,Alabama
36305,36547-2029,DO-M,Gulf Shores,AL,1978,63,Family Medicine/OMT,118447,Business,0,Alabama
70469,35475-3064,DO-M,Northport,AL,1998,55,Family Medicine/OMT,118446,Home,4,Alabama
42596,36303-6904,DO-M,Dothan,AL,1984,55,Family Medicine/OMT,118458,Business,0,Alabama
160040,36350-0020,DO-M,Midland City,AL,2008,42,Family Medicine,118462,Home,3,Alabama
76634,35226-4149,DO-M,Hoover,AL,2000,43,Family Medicine,118466,Home,0,Alabama
24215,36561-3980,DO-M,Orange Beach,AL,1959,82,Family Medicine,118447,Home,14,Alabama
51264,36582-7509,DO-M,Theodore,AL,1989,50,Family Medicine,118457,Home,0,Alabama
41261,36310-2629,DO-M,Abbeville,AL,1982,61,Family Medicine,118446,Business,0,Alabama
180551,35124-3328,DO-M,Pelham,AL,2011,27,Family Medicine,118466,Home,5,Alabama
56336,36079-2986,DO-M,Troy,AL,1991,54,Family Medicine,118447,Home,0,Alabama
34873,36351-8233,DO-M,New Brockton,AL,1977,66,Family Medicine,118445,Home,4,Alabama
84997,35150-7819,DO-M,Sylacauga,AL,2002,50,Family Medicine,118459,Business,0,Alabama
40730,35630-5405,DO-M,Florence,AL,1982,58,Family Medicine,118461,Business,0,Alabama
62533,36420-1205,DO-M,Andalusia,AL,1994,49,Family Medicine,118466,Business,0,Alabama
149604,36854-2118,DO-M,Valley,AL,2006,47,Family Medicine,118466,Home,0,Alabama
39485,36201-5758,DO-M,Anniston,AL,1983,62,Family Medicine,118446,Business,0,Alabama
68017,35055-1953,DO-M,Cullman,AL,1997,50,Family Medicine,118445,Business,0,Alabama
43407,36106-1135,DO-M,Montgomery,AL,1984,67,Family Medicine,118453,Business,0,Alabama
167897,35124-1179,DO-M,Pelham,AL,2009,31,Family Medicine,118454,Business,3,Alabama
28589,36467-2306,DO-M,Opp,AL,1969,71,Family Medicine,118447,Home,14,Alabama
194147,36526-6172,DO-M,Daphne,AL,2013,30,Family Medicine,118440,Home,5,Alabama
33371,35613-8147,DO-M,Athens,AL,1975,64,Family Medicine,118457,Home,0,Alabama
171188,36541-6134,DO-M,Grand Bay,AL,2010,31,Family Medicine,118459,Home,1,Alabama
37910,36427-0977,DO-M,Brewton,AL,1980,60,Family Medicine,118447,Business,0,Alabama
74873,36301-7783,DO-M,Rehobeth,AL,2000,46,Family Medicine,118446,Home,0,Alabama
49716,36542-2748,DO-M,Gulf Shores,AL,1988,53,Family Medicine,118466,Home,0,Alabama
35695,36302-6987,DO-M,Dothan,AL,1978,64,Family Medicine,118442,Business,0,Alabama
80640,36804-7665,DO-M,Opelika,AL,2001,40,Family Medicine,118447,Home,0,Alabama
64596,36305-5941,DO-M,Dothan,AL,1995,53,Family Medicine,118457,Home,0,Alabama
160064,35226-6314,DO-M,Birmingham,AL,2008,36,Family Medicine,118462,Home,0,Alabama
154588,35226-6314,DO-M,Birmingham,AL,2007,35,Family Medicine,118462,Home,0,Alabama
155063,36051-2822,DO-M,Marbury,AL,2007,36,Family Medicine,118459,Home,0,Alabama
72088,35758-6860,DO-M,Madison,AL,1998,49,Family Medicine,118467,Home,4,Alabama
79336,35661-2955,DO-M,Muscle Shoals,AL,2001,39,Family Medicine,118470,Home,0,Alabama
60729,35184-2307,DO-M,West Blocton,AL,1993,46,Family Medicine,118466,Home,0,Alabama
60690,35901-8921,DO-M,Gadsden,AL,1993,49,Family Medicine,118466,Home,0,Alabama
171281,35233-2071,DO-M,Birmingham,AL,2010,30,Family Medicine,118459,Home,2,Alabama
36184,36303-3057,DO-M,Dothan,AL,1978,66,Family Medicine,118453,Home,0,Alabama
62585,36582-8308,DO-M,Theodore,AL,1994,48,Family Medicine,118466,Home,0,Alabama
179775,36568-0596,DO-M,Saint Elmo,AL,2011,30,Family Medicine,118439,Home,5,Alabama
124959,35570-5430,DO-M,Hamilton,AL,2003,56,Family Medicine,118446,Home,0,Alabama
81469,35757-6928,DO-M,Madison,AL,2002,40,Family Medicine,118461,Home,68,Alabama
143808,36535-2241,DO-M,Foley,AL,2006,40,Family Medicine,118468,Home,0,Alabama
33655,36535-2235,DO-M,Foley,AL,1975,74,Family Medicine,118442,Business,14,Alabama
39560,36310-2836,DO-M,Abbeville,AL,1982,58,Family Medicine,118446,Business,0,Alabama
81530,35816-3402,DO-M,Huntsville,AL,2001,41,Family Medicine,118462,Business,0,Alabama
55363,36303-5904,DO-M,Dothan,AL,1990,53,Family Medicine,118464,Home,0,Alabama
47893,35677-3749,DO-M,Waterloo,AL,1987,52,Family Medicine,118446,Home,0,Alabama
65495,35761-8118,DO-M,New Market,AL,1995,50,Family Medicine,118445,Home,0,Alabama
156736,36066-7825,DO-M,Prattville,AL,2008,35,Family Medicine,118453,Home,0,Alabama
42587,36830-7630,DO-M,Auburn,AL,1984,56,Family Medicine,118458,Home,0,Alabama
41750,36274-0625,DO-M,Roanoke,AL,1980,59,Family Medicine,118457,Business,0,Alabama
43523,35565-7064,DO-M,Haleyville,AL,1984,59,Family Medicine,118453,Business,0,Alabama
48450,36830-4116,DO-M,Auburn,AL,1987,53,Family Medicine,118463,Home,0,Alabama
80316,36330-3400,DO-M,Enterprise,AL,2001,47,Family Medicine,118445,Business,0,Alabama
149348,36303-6508,DO-M,Dothan,AL,2006,39,Family Medicine,118467,Home,0,Alabama
42835,35242-0509,DO-M,Birmingham,AL,1984,55,Family Medicine,118462,Home,4,Alabama
162734,36340-1652,DO-M,Geneva,AL,2008,40,Family Medicine,118448,Home,0,Alabama
49104,35603-4232,DO-M,Decatur,AL,1988,56,Family Medicine,118453,Business,0,Alabama
58883,35150-2432,DO-M,Sylacauga,AL,1992,51,Family Medicine,118466,Business,0,Alabama
35910,36272-0450,DO-M,Piedmont,AL,1978,66,Family Medicine,118445,Business,0,Alabama
70504,36265-1112,DO-M,Jacksonville,AL,1998,43,Family Medicine,118446,Home,0,Alabama
76640,35007-2023,DO-M,Alabaster,AL,2000,44,Family Medicine,118466,Business,0,Alabama
149388,36064-2990,DO-M,Pike Road,AL,2006,38,Family Medicine,118467,Home,4,Alabama
59887,36535-4509,DO-M,Foley,AL,1993,53,Family Medicine,118457,Business,0,Alabama
32627,36804-7666,DO-M,Opelika,AL,1973,80,Family Medicine,118442,Home,14,Alabama
43366,36322-2306,DO-M,Daleville,AL,1984,55,Family Medicine,118461,Business,0,Alabama
164444,35235-2140,DO-M,Birmingham,AL,2012,34,Family Medicine,118470,Home,5,Alabama
76103,35756-6400,DO-M,Madison,AL,2000,41,Family Medicine,118463,Home,0,Alabama
169677,36265-1187,DO-M,Jacksonville,AL,2007,53,Family Medicine,118463,Home,0,Alabama
158892,36305-4295,DO-M,Dothan,AL,2005,44,Integrated FM/NMM,118457,Home,0,Alabama
37437,35951-5133,DO-M,Albertville,AL,1979,60,Gastroenterology,118446,Home,69,Alabama
42099,36106-3634,DO-M,Montgomery,AL,1981,59,Gastroenterology,118453,Business,0,Alabama
43077,35976-7366,DO-M,Guntersville,AL,1984,60,Gastroenterology,118459,Business,0,Alabama
66521,36801-2191,DO-M,Opelika,AL,1996,50,Geriatrics,118453,Home,8,Alabama
72679,36272-,DO-M,Piedmont,AL,1999,46,General Practice,118446,Business,0,Alabama
170861,36362-2209,DO-M,Fort Rucker,AL,2010,32,General Practice,118449,Home,2,Alabama
56317,36079-2986,DO-M,Troy,AL,1991,50,General Vascular Surgery,118447,Home,0,Alabama
37307,36536-2065,DO-M,Foley,AL,1979,62,General Vascular Surgery,118458,Business,0,Alabama
161926,35222-3946,DO-M,Birmingham,AL,2008,31,Internal Med-Emergency Med,118446,Home,1,Alabama
168138,36330-8566,DO-M,Enterprise,AL,2009,30,Internal Medicine,118446,Home,3,Alabama
144958,35805-4104,DO-M,Huntsville,AL,2005,37,Internal Medicine,118446,Home,3,Alabama
64416,35749-0029,DO-M,Harvest,AL,1995,51,Internal Medicine,118447,Home,0,Alabama
48131,36207-5721,DO-M,Anniston,AL,1987,54,Internal Medicine,118447,Business,0,Alabama
124850,36301-1250,DO-M,Dothan,AL,2003,37,Internal Medicine,118446,Business,0,Alabama
39506,36542-2966,DO-M,Gulf Shores,AL,1983,58,Internal Medicine,118446,Home,0,Alabama
40335,36303-1928,DO-M,Dothan,AL,1983,58,Internal Medicine,118453,Business,0,Alabama
186228,35216-3882,DO-M,Birmingham,AL,2012,29,Internal Medicine,118454,Home,5,Alabama
165674,36303-6326,DO-M,Dothan,AL,2009,40,Internal Medicine,118448,Home,3,Alabama
171201,35757-6938,DO-M,Madison,AL,2010,30,Internal Medicine,118459,Home,2,Alabama
170454,36609-3023,DO-M,Mobile,AL,2011,37,Internal Medicine,118454,Home,1,Alabama
155783,35650-0999,DO-M,Moulton,AL,2007,46,Internal Medicine,155767,Home,0,Alabama
162106,35244-3262,DO-M,Birmingham,AL,2008,53,Internal Medicine,118446,Home,0,Alabama
164943,36117-0925,DO-M,Montgomery,AL,2009,35,Internal Medicine,118466,Home,3,Alabama
49590,35126-3093,DO-M,Pinson,AL,1988,64,Internal Medicine,118459,Business,0,Alabama
85880,35677-3749,DO-M,Waterloo,AL,2002,46,Internal Medicine,118467,Home,0,Alabama
45792,35758-9525,DO-M,Madison,AL,1987,63,Internal Medicine,118447,Home,0,Alabama
74966,35242-6811,DO-M,Birmingham,AL,2000,62,Internal Medicine,118446,Home,0,Alabama
184002,36609-3536,DO-M,Mobile,AL,2012,30,Internal Medicine,118446,Home,5,Alabama
179811,36049-1925,DO-M,Luverne,AL,2012,32,Internal Medicine,118439,Home,5,Alabama
66277,36303-3869,DO-M,Dothan,AL,1996,43,Internal Med-Pediatrics,118446,Home,0,Alabama
58689,35124-3532,DO-M,Indian Springs,AL,1992,56,Neurology,118464,Home,0,Alabama
49570,36301-3030,DO-M,Dothan,AL,1988,57,Neurology,118459,Business,0,Alabama
30038,36527-7043,DO-M,Spanish Fort,AL,1972,73,Neurology,118445,Home,0,Alabama
166661,35205-1765,DO-M,Birmingham,AL,2010,30,Neurology,118442,Home,2,Alabama
41976,35906-6907,DO-M,Rainbow City,AL,1981,64,Neurology,118461,Home,0,Alabama
61928,35950-0030,DO-M,Albertville,AL,1994,60,Neurology,118459,Home,0,Alabama
34881,36111-1407,DO-M,Montgomery,AL,1977,62,Nephrology,118445,Home,0,Alabama
41545,35223-2770,DO-M,Mountain Brk,AL,1981,63,Nephrology,118447,Home,0,Alabama
76506,35226-4149,DO-M,Hoover,AL,2000,43,Nuclear Medicine,118466,Home,0,Alabama
54784,35758-7993,DO-M,Madison,AL,1990,56,Neuroradiology                                    ,118457,Home,0,Alabama
142733,36305-1194,DO-M,Dothan,AL,2005,41,Neurological Surgery,118470,Home,0,Alabama
155821,36305-6319,DO-M,Dothan,AL,2007,39,Neurological Surgery,155767,Home,1,Alabama
164453,36542-5748,DO-M,Gulf Shores,AL,2009,32,Obstetrics & Gynecology,118470,Home,2,Alabama
141019,35630-6625,DO-M,Florence,AL,2004,41,Obstetrics & Gynecology,118461,Home,0,Alabama
154979,35976-6936,DO-M,Guntersville,AL,2007,37,Obstetrics & Gynecology,118459,Home,3,Alabama
36334,36535-2248,DO-M,Foley,AL,1978,66,Obstetrics & Gynecology,118447,Business,0,Alabama
125099,35243-1759,DO-M,Birmingham,AL,2003,44,Obstetrics & Gynecology,118446,Home,0,Alabama
37883,36117-7107,DO-M,Montgomery,AL,1981,71,Occupational Medicine,118459,Business,14,Alabama
56079,35209-7808,DO-M,Birmingham,AL,1991,49,Orthopedic Foot & Ankle Surg,118461,Business,0,Alabama
48789,36303-6904,DO-M,Dothan,AL,1987,52,Osteo Manipulative Medicine,118465,Business,0,Alabama
183801,35802-1222,DO-M,Huntsville,AL,2012,29,Otolaryn & Facial Plastic Surg,118446,Home,5,Alabama
49983,36207-5721,DO-M,Anniston,AL,1988,53,Otolaryn & Facial Plastic Surg,118447,Business,0,Alabama
60684,35901-8921,DO-M,Gadsden,AL,1993,48,Otolaryn & Facial Plastic Surg,118466,Home,0,Alabama
40464,35603-1538,DO-M,Decatur,AL,1983,59,Otolaryn & Facial Plastic Surg,118453,Business,0,Alabama
26566,35242-4969,DO-M,Birmingham,AL,1964,74,Otolaryn & Facial Plastic Surg,118447,Home,14,Alabama
61951,35242-5101,DO-M,Birmingham,AL,1994,47,Ophthalmology,118460,Home,0,Alabama
42892,35758-3000,DO-M,Madison,AL,1984,61,Ophthalmology,118446,Business,0,Alabama
66175,35594-5062,DO-M,Winfield,AL,1996,42,Orthopedics,118446,Home,0,Alabama
67674,36361-1025,DO-M,Ozark,AL,1996,47,Orthopedic Surgery,118466,Home,4,Alabama
138925,35209-4022,DO-M,Birmingham,AL,2004,38,Orthopedic Surgery,118446,Home,0,Alabama
66222,35055-5502,DO-M,Cullman,AL,1996,49,Orthopedic Surgery,118446,Business,0,Alabama
162153,36532-5585,DO-M,Fairhope,AL,2008,35,Orthopedic Surgery,118446,Home,1,Alabama
80467,35613-1705,DO-M,Athens,AL,2001,42,Orthopedic Surgery,118446,Home,0,Alabama
142911,35244-6748,DO-M,Hoover,AL,2005,34,Orthopedic Surgery,118460,Home,3,Alabama
82014,35976-8231,DO-M,Guntersville,AL,2001,40,Orthopedic Surgery,118466,Home,0,Alabama
149700,36207-4438,DO-M,Anniston,AL,2006,36,Orthopedic Surgery,118466,Home,3,Alabama
160356,35226-6434,DO-M,Hoover,AL,2008,33,Orthopedic Surgery,118468,Home,1,Alabama
